funding_amount,market_size,team_experience_years,team_size,avg_education_level,has_patent,revenue_first_year,burn_rate,location_score,competition_score,sector,success_score
777636.3709562025,5958688.453247121,16.702823581956068,2,1.448910246568841,0,841878.7038282088,0.6466397684991423,0.42939121448528395,0.7198494937157072,Fintech,19.240064882808845
2104161.5407281737,8054914.54480698,14.337546711260227,11,2.2843753920412495,1,1439225.1506536363,0.6400148178027495,0.5630275272909478,0.32976761389901466,AI,37.91551546094379
1348502.074657089,2466456.737854685,14.661545927766744,23,2.306366305797994,0,2070823.8004352306,0.568716996723077,0.4975514541856925,0.29655681793803057,EdTech,29.936249988973895
5477038.337397659,2984199.3186703385,7.799217615187359,11,2.4252963939123506,0,1271577.1341525975,0.5168980585422611,0.6464322646133439,0.529171452285182,SaaS,25.559715826309166
2424742.749138886,5627246.7608513385,12.337895347444457,22,2.4156441129192703,0,840164.3918213493,0.5559254691414409,0.47222443035133155,0.4312144371933291,HealthTech,33.501143043689595
909592.5180774214,7093026.552616899,3.5856511419209767,16,2.1813765325525027,0,1355613.2898964274,0.8086694470399851,0.5302549855503125,0.3844120518338582,AI,27.696763959724066
628997.3414196797,1320300.9074820098,7.402738569991944,24,2.171212868035283,0,786373.6768317329,0.6817079382153428,0.7251180787934673,0.4226633650699404,HealthTech,25.819694915300303
1092814.0810824684,2445003.036341843,10.091310530008354,8,2.343486240392791,1,1006247.0593638438,0.7461493317811818,0.6893062352059888,0.6663462772431965,EdTech,19.418886627580214
1845486.7285627183,847573.171729397,4.764437637884564,6,1.6013765861992593,0,547260.4723199697,0.5743674891921221,0.859845659557213,0.4109340072346435,HealthTech,25.37389161173361
855759.0124630276,2773581.3624495496,7.249889725447094,16,2.520154068728698,1,1217211.8217729286,0.6975471204664556,0.4811700088606411,0.13848553640288636,HealthTech,28.88981057441838
2444640.3897555675,3326667.8536189394,20.00889445660458,17,1.5882512536890676,0,1109998.3419858825,0.9218375150480873,0.7670222491829157,0.5892177647873773,EdTech,24.995773295499077
680180.3422008292,1959497.7998322672,7.367120292972375,16,1.4116569262218457,0,888888.6514506133,0.35583874109946845,0.39688418375849166,0.5783784618625488,AI,25.338843248918614
27302155.672667485,4554050.189978772,7.052309399840679,2,2.233855731171918,1,792321.3699101573,0.5275806401880384,0.5718418227167229,0.766495057696911,HealthTech,24.489961120673456
1718957.648315761,1427559.6382373632,3.626585276478215,15,2.0731087245908397,0,1065137.2607364429,0.8465479022046115,0.5001408802921695,0.20376405839574385,EdTech,10.56903086176972
13465248.767685719,1694487.099127978,16.192446018681725,10,2.565786506437122,1,921681.0511709548,0.6418474947729133,0.4690424609141219,0.6115180503705201,Fintech,22.0553561818214
657996.4483243156,1176024.147177736,12.862939588610597,35,2.179995806786719,0,1142913.0698012714,0.911200348341365,0.6438765002727712,0.39726819229156574,E-Commerce,26.498523586730354
